"first_name","last_name","email","rent_freq"
"Juan","Fraley","juan.fraley@sakilacustomer.org","23"
"Ron","Deluca","ron.deluca@sakilacustomer.org","23"
"Gregory","Mauldin","gregory.mauldin@sakilacustomer.org","23"
"Calvin","Martel","calvin.martel@sakilacustomer.org","23"
"Bruce","Schwarz","bruce.schwarz@sakilacustomer.org","23"
"Jeffrey","Spear","jeffrey.spear@sakilacustomer.org","23"
"Toni","Holt","toni.holt@sakilacustomer.org","23"
"Roland","South","roland.south@sakilacustomer.org","23"
"Edwin","Burk","edwin.burk@sakilacustomer.org","23"
"Brent","Harkins","brent.harkins@sakilacustomer.org","23"
"Joan","Cooper","joan.cooper@sakilacustomer.org","23"
"Marian","Mendoza","marian.mendoza@sakilacustomer.org","23"
"Irene","Price","irene.price@sakilacustomer.org","23"
"Connie","Wallace","connie.wallace@sakilacustomer.org","23"
"Laurie","Lawrence","laurie.lawrence@sakilacustomer.org","23"
"Anne","Powell","anne.powell@sakilacustomer.org","23"
"Albert","Crouse","albert.crouse@sakilacustomer.org","23"
"Emma","Boyd","emma.boyd@sakilacustomer.org","23"
"Agnes","Bishop","agnes.bishop@sakilacustomer.org","23"
"Randall","Neumann","randall.neumann@sakilacustomer.org","23"
"Paul","Trout","paul.trout@sakilacustomer.org","23"
"Stacy","Cunningham","stacy.cunningham@sakilacustomer.org","23"
"Carlos","Coughlin","carlos.coughlin@sakilacustomer.org","23"
"Natalie","Meyer","natalie.meyer@sakilacustomer.org","23"
"Carl","Artis","carl.artis@sakilacustomer.org","23"
"Phyllis","Foster","phyllis.foster@sakilacustomer.org","23"
"Margaret","Moore","margaret.moore@sakilacustomer.org","23"
"Ida","Andrews","ida.andrews@sakilacustomer.org","23"
"Vivian","Ruiz","vivian.ruiz@sakilacustomer.org","23"
"Mattie","Hoffman","mattie.hoffman@sakilacustomer.org","22"
"Timothy","Bunn","timothy.bunn@sakilacustomer.org","22"
"Francisco","Skidmore","francisco.skidmore@sakilacustomer.org","22"
"Kelly","Torres","kelly.torres@sakilacustomer.org","22"
"Mathew","Bolin","mathew.bolin@sakilacustomer.org","22"
"Nicole","Peterson","nicole.peterson@sakilacustomer.org","22"
"Harvey","Guajardo","harvey.guajardo@sakilacustomer.org","22"
"Franklin","Troutman","franklin.troutman@sakilacustomer.org","22"
"Erica","Matthews","erica.matthews@sakilacustomer.org","22"
"Adam","Gooch","adam.gooch@sakilacustomer.org","22"
"Wade","Delvalle","wade.delvalle@sakilacustomer.org","22"
"Derrick","Bourque","derrick.bourque@sakilacustomer.org","22"
"Barbara","Jones","barbara.jones@sakilacustomer.org","22"
"Rose","Howard","rose.howard@sakilacustomer.org","22"
"Corey","Hauser","corey.hauser@sakilacustomer.org","22"
"Rachel","Barnes","rachel.barnes@sakilacustomer.org","22"
"Bernard","Colby","bernard.colby@sakilacustomer.org","22"
"Willard","Lumpkin","willard.lumpkin@sakilacustomer.org","22"
"Loretta","Carpenter","loretta.carpenter@sakilacustomer.org","22"
"Chris","Brothers","chris.brothers@sakilacustomer.org","22"
"Stella","Moreno","stella.moreno@sakilacustomer.org","22"
"Lance","Pemberton","lance.pemberton@sakilacustomer.org","22"
"Dan","Paine","dan.paine@sakilacustomer.org","22"
"Ray","Houle","ray.houle@sakilacustomer.org","22"
"Shane","Millard","shane.millard@sakilacustomer.org","22"
"Laura","Rodriguez","laura.rodriguez@sakilacustomer.org","22"
"Doris","Reed","doris.reed@sakilacustomer.org","22"
"Pearl","Garza","pearl.garza@sakilacustomer.org","22"
"Cody","Nolen","cody.nolen@sakilacustomer.org","22"
"Andrea","Henderson","andrea.henderson@sakilacustomer.org","22"
"Leslie","Gordon","leslie.gordon@sakilacustomer.org","22"
"Dwayne","Olvera","dwayne.olvera@sakilacustomer.org","22"
"Carol","Garcia","carol.garcia@sakilacustomer.org","22"
"Kevin","Schuler","kevin.schuler@sakilacustomer.org","22"
"Frances","Parker","frances.parker@sakilacustomer.org","22"
"Julio","Noland","julio.noland@sakilacustomer.org","21"
"Armando","Gruber","armando.gruber@sakilacustomer.org","21"
"Ruben","Geary","ruben.geary@sakilacustomer.org","21"
"Frederick","Isbell","frederick.isbell@sakilacustomer.org","21"
"Alberto","Henning","alberto.henning@sakilacustomer.org","21"
"Bonnie","Hughes","bonnie.hughes@sakilacustomer.org","21"
"Jill","Hawkins","jill.hawkins@sakilacustomer.org","21"
"Danny","Isom","danny.isom@sakilacustomer.org","21"
"Nellie","Garrett","nellie.garrett@sakilacustomer.org","21"
"Anna","Hill","anna.hill@sakilacustomer.org","21"
"Allen","Butterfield","allen.butterfield@sakilacustomer.org","21"
"Tony","Carranza","tony.carranza@sakilacustomer.org","21"
"Donna","Thompson","donna.thompson@sakilacustomer.org","21"
"Marvin","Yee","marvin.yee@sakilacustomer.org","21"
"Samuel","Marlow","samuel.marlow@sakilacustomer.org","21"
"Ricardo","Meador","ricardo.meador@sakilacustomer.org","21"
"Rafael","Abney","rafael.abney@sakilacustomer.org","21"
"Hugh","Waldrop","hugh.waldrop@sakilacustomer.org","21"
"Yvonne","Watkins","yvonne.watkins@sakilacustomer.org","21"
"Delores","Hansen","delores.hansen@sakilacustomer.org","21"
"Kim","Cruz","kim.cruz@sakilacustomer.org","21"
"Robert","Baughman","robert.baughman@sakilacustomer.org","21"
"Norma","Gonzales","norma.gonzales@sakilacustomer.org","21"
"Jacob","Lance","jacob.lance@sakilacustomer.org","21"
"Tyler","Wren","tyler.wren@sakilacustomer.org","21"
"Alicia","Mills","alicia.mills@sakilacustomer.org","21"
"Maureen","Little","maureen.little@sakilacustomer.org","21"
"Lorraine","Stephens","lorraine.stephens@sakilacustomer.org","21"
"Daniel","Cabral","daniel.cabral@sakilacustomer.org","20"
"Oscar","Aquino","oscar.aquino@sakilacustomer.org","20"
"Kay","Caldwell","kay.caldwell@sakilacustomer.org","20"
"Anthony","Schwab","anthony.schwab@sakilacustomer.org","20"
"Jeanette","Greene","jeanette.greene@sakilacustomer.org","20"
"Lauren","Hudson","lauren.hudson@sakilacustomer.org","20"
"Tara","Ryan","tara.ryan@sakilacustomer.org","20"
"Raul","Fortier","raul.fortier@sakilacustomer.org","20"
"Luis","Yanez","luis.yanez@sakilacustomer.org","20"
"Jo","Fowler","jo.fowler@sakilacustomer.org","20"
"Herbert","Kruger","herbert.kruger@sakilacustomer.org","20"
"Terry","Grissom","terry.grissom@sakilacustomer.org","20"
"Nelson","Christenson","nelson.christenson@sakilacustomer.org","20"
"Alfredo","Mcadams","alfredo.mcadams@sakilacustomer.org","20"
"Wilma","Richards","wilma.richards@sakilacustomer.org","20"
"Adrian","Clary","adrian.clary@sakilacustomer.org","19"
"Edith","Mcdonald","edith.mcdonald@sakilacustomer.org","19"
"Vanessa","Sims","vanessa.sims@sakilacustomer.org","19"
"Austin","Cintron","austin.cintron@sakilacustomer.org","19"
"Allan","Cornish","allan.cornish@sakilacustomer.org","19"
"Wayne","Truong","wayne.truong@sakilacustomer.org","19"
"Eugene","Culpepper","eugene.culpepper@sakilacustomer.org","19"
"Johnny","Turpin","johnny.turpin@sakilacustomer.org","19"
"Lloyd","Dowd","lloyd.dowd@sakilacustomer.org","19"
"Jared","Ely","jared.ely@sakilacustomer.org","19"
"Lewis","Lyman","lewis.lyman@sakilacustomer.org","19"
"Kirk","Stclair","kirk.stclair@sakilacustomer.org","19"
"Christina","Ramirez","christina.ramirez@sakilacustomer.org","18"
"Eileen","Carr","eileen.carr@sakilacustomer.org","18"
"Eva","Ramos","eva.ramos@sakilacustomer.org","18"
"Paula","Bryant","paula.bryant@sakilacustomer.org","18"
"Vernon","Chapa","vernon.chapa@sakilacustomer.org","18"
"Jonathan","Scarborough","jonathan.scarborough@sakilacustomer.org","18"
"Lonnie","Tirado","lonnie.tirado@sakilacustomer.org","18"
"Kristen","Chavez","kristen.chavez@sakilacustomer.org","18"
"Irma","Pearson","irma.pearson@sakilacustomer.org","18"
"Vera","Mccoy","vera.mccoy@sakilacustomer.org","18"
"Penny","Neal","penny.neal@sakilacustomer.org","18"
"Annie","Russell","annie.russell@sakilacustomer.org","18"
"Henry","Billingsley","henry.billingsley@sakilacustomer.org","18"
"Sheila","Wells","sheila.wells@sakilacustomer.org","18"
"Ann","Evans","ann.evans@sakilacustomer.org","17"
"Dwight","Lombardi","dwight.lombardi@sakilacustomer.org","17"
"Melinda","Fernandez","melinda.fernandez@sakilacustomer.org","17"
"Kenneth","Gooden","kenneth.gooden@sakilacustomer.org","17"
"Floyd","Gandy","floyd.gandy@sakilacustomer.org","17"
"Antonio","Meek","antonio.meek@sakilacustomer.org","16"
"Lester","Kraus","lester.kraus@sakilacustomer.org","16"
"Joann","Gardner","joann.gardner@sakilacustomer.org","16"
"Jerome","Kenyon","jerome.kenyon@sakilacustomer.org","16"
"Anita","Morales","anita.morales@sakilacustomer.org","15"
"Caroline","Bowman","caroline.bowman@sakilacustomer.org","15"
"Katherine","Rivera","katherine.rivera@sakilacustomer.org","14"
"Leona","Obrien","leona.obrien@sakilacustomer.org","14"
"Tiffany","Jordan","tiffany.jordan@sakilacustomer.org","14"
"Brian","Wyman","brian.wyman@sakilacustomer.org","12"
